scalar,RGB_r,RGB_g,RGB_b
0.3698630137,0.3654964800,0.3619290769,0.3633937598
0.3718199609,0.3672428739,0.3635815589,0.3649316442
0.3737769080,0.3689907482,0.3652353347,0.3664705477
0.3757338552,0.3707400993,0.3668904015,0.3680104681
0.3776908023,0.3724909237,0.3685467560,0.3695514033
0.3796477495,0.3742432181,0.3702043953,0.3710933510
0.3816046967,0.3759969790,0.3718633163,0.3726363091
0.3835616438,0.3777522030,0.3735235161,0.3741802753
0.3855185910,0.3795088866,0.3751849916,0.3757252476
0.3874755382,0.3812670267,0.3768477398,0.3772712237
0.3894324853,0.3830266197,0.3785117578,0.3788182015
0.3913894325,0.3847876623,0.3801770427,0.3803661789
0.3933463796,0.3865501513,0.3818435915,0.3819151539
0.3953033268,0.3883140834,0.3835114013,0.3834651241
0.3972602740,0.3900794552,0.3851804693,0.3850160877
0.3992172211,0.3918462635,0.3868507925,0.3865680424
0.4011741683,0.3936145051,0.3885223680,0.3881209862
0.4031311155,0.3953841767,0.3901951931,0.3896749169
0.4050880626,0.3971552752,0.3918692648,0.3912298327
0.4070450098,0.3989277973,0.3935445804,0.3927857313
0.4090019569,0.4007017398,0.3952211371,0.3943426108
0.4109589041,0.4024770997,0.3968989320,0.3959004691
0.4129158513,0.4042538737,0.3985779625,0.3974593042
0.4148727984,0.4060320588,0.4002582256,0.3990191141
0.4168297456,0.4078116518,0.4019397187,0.4005798967
0.4187866928,0.4095926496,0.4036224391,0.4021416500
0.4207436399,0.4113750492,0.4053063840,0.4037043722
0.4227005871,0.4131588474,0.4069915507,0.4052680611
0.4246575342,0.4149440413,0.4086779365,0.4068327148
0.4266144814,0.4167306278,0.4103655388,0.4083983314
0.4285714286,0.4185186040,0.4120543548,0.4099649089
0.4305283757,0.4203079667,0.4137443820,0.4115324454
0.4324853229,0.4220987131,0.4154356177,0.4131009388
0.4344422701,0.4238908401,0.4171280592,0.4146703873
0.4363992172,0.4256843447,0.4188217040,0.4162407890
0.4383561644,0.4274792242,0.4205165495,0.4178121420
0.4403131115,0.4292754755,0.4222125930,0.4193844443
0.4422700587,0.4310730957,0.4239098320,0.4209576940
0.4442270059,0.4328720819,0.4256082640,0.4225318893
0.4461839530,0.4346724313,0.4273078863,0.4241070282
0.4481409002,0.4364741409,0.4290086966,0.4256831090
0.4500978474,0.4382772080,0.4307106921,0.4272601298
0.4520547945,0.4400816296,0.4324138705,0.4288380886
0.4540117417,0.4418874031,0.4341182292,0.4304169837
0.4559686888,0.4436945254,0.4358237657,0.4319968131
0.4579256360,0.4455029940,0.4375304776,0.4335775752
0.4598825832,0.4473128059,0.4392383625,0.4351592680
0.4618395303,0.4491239584,0.4409474177,0.4367418897
0.4637964775,0.4509364487,0.4426576410,0.4383254386
0.4657534247,0.4527502741,0.4443690299,0.4399099128
0.4677103718,0.4545654320,0.4460815820,0.4414953106
0.4696673190,0.4563819194,0.4477952949,0.4430816301
0.4716242661,0.4581997338,0.4495101662,0.4446688695
0.4735812133,0.4600188725,0.4512261934,0.4462570272
0.4755381605,0.4618393328,0.4529433743,0.4478461014
0.4774951076,0.4636611119,0.4546617065,0.4494360902
0.4794520548,0.4654842074,0.4563811877,0.4510269920
0.4814090020,0.4673086164,0.4581018154,0.4526188050
0.4833659491,0.4691343365,0.4598235874,0.4542115274
0.4853228963,0.4709613649,0.4615465014,0.4558051576
0.4872798434,0.4727896992,0.4632705551,0.4573996939
0.4892367906,0.4746193366,0.4649957461,0.4589951345
0.4911937378,0.4764502746,0.4667220723,0.4605914776
0.4931506849,0.4782825106,0.4684495312,0.4621887217
0.4951076321,0.4801160422,0.4701781208,0.4637868651
0.4970645793,0.4819508666,0.4719078386,0.4653859060
0.4990215264,0.4837869815,0.4736386826,0.4669858428
0.5009784736,0.4856243843,0.4753706503,0.4685866737
0.5029354207,0.4874630725,0.4771037397,0.4701883973
0.5048923679,0.4893030435,0.4788379486,0.4717910117
0.5068493151,0.4911442950,0.4805732746,0.4733945154
0.5088062622,0.4929868243,0.4823097157,0.4749989066
0.5107632094,0.4948306292,0.4840472697,0.4766041839
0.5127201566,0.4966757070,0.4857859344,0.4782103454
0.5146771037,0.4985220555,0.4875257076,0.4798173897
0.5166340509,0.5003696720,0.4892665871,0.4814253151
0.5185909980,0.5022185543,0.4910085709,0.4830341201
0.5205479452,0.5040686999,0.4927516569,0.4846438029
0.5225048924,0.5059201065,0.4944958428,0.4862543620
0.5244618395,0.5077727715,0.4962411266,0.4878657958
0.5264187867,0.5096266927,0.4979875063,0.4894781027
0.5283757339,0.5114818678,0.4997349796,0.4910912812
0.5303326810,0.5133382942,0.5014835445,0.4927053297
0.5322896282,0.5151959697,0.5032331989,0.4943202466
0.5342465753,0.5170548920,0.5049839409,0.4959360304
0.5362035225,0.5189150588,0.5067357682,0.4975526795
0.5381604697,0.5207764676,0.5084886789,0.4991701924
0.5401174168,0.5226391163,0.5102426710,0.5007885675
0.5420743640,0.5245030025,0.5119977423,0.5024078033
0.5440313112,0.5263681240,0.5137538910,0.5040278982
0.5459882583,0.5282344784,0.5155111149,0.5056488509
0.5479452055,0.5301020635,0.5172694121,0.5072706596
0.5499021526,0.5319708771,0.5190287806,0.5088933230
0.5518590998,0.5338409168,0.5207892184,0.5105168395
0.5538160470,0.5357121806,0.5225507235,0.5121412077
0.5557729941,0.5375846661,0.5243132939,0.5137664260
0.5577299413,0.5394583711,0.5260769277,0.5153924930
0.5596868885,0.5413332934,0.5278416230,0.5170194071
0.5616438356,0.5432094309,0.5296073778,0.5186471669
0.5636007828,0.5450867813,0.5313741901,0.5202757710
0.5655577299,0.5469653425,0.5331420581,0.5219052178
0.5675146771,0.5488451123,0.5349109798,0.5235355060
0.5694716243,0.5507260885,0.5366809533,0.5251666340
0.5714285714,0.5526082690,0.5384519767,0.5267986005
0.5733855186,0.5544916516,0.5402240481,0.5284314039
0.5753424658,0.5563762343,0.5419971657,0.5300650429
0.5772994129,0.5582620148,0.5437713275,0.5316995160
0.5792563601,0.5601489911,0.5455465317,0.5333348218
0.5812133072,0.5620371611,0.5473227764,0.5349709589
0.5831702544,0.5639265226,0.5491000597,0.5366079258
0.5851272016,0.5658170736,0.5508783798,0.5382457212
0.5870841487,0.5677088120,0.5526577350,0.5398843437
0.5890410959,0.5696017358,0.5544381232,0.5415237918
0.5909980431,0.5714958428,0.5562195428,0.5431640642
0.5929549902,0.5733911310,0.5580019919,0.5448051594
0.5949119374,0.5752875984,0.5597854686,0.5464470762
0.5968688845,0.5771852429,0.5615699713,0.5480898131
0.5988258317,0.5790840624,0.5633554980,0.5497333688
0.6007827789,0.5809840551,0.5651420471,0.5513777418
0.6027397260,0.5828852188,0.5669296166,0.5530229309
0.6046966732,0.5847875516,0.5687182049,0.5546689347
0.6066536204,0.5866910514,0.5705078102,0.5563157517
0.6086105675,0.5885957164,0.5722984307,0.5579633808
0.6105675147,0.5905015443,0.5740900646,0.5596118205
0.6125244618,0.5924085335,0.5758827103,0.5612610695
0.6144814090,0.5943166817,0.5776763660,0.5629111265
0.6164383562,0.5962259872,0.5794710299,0.5645619901
0.6183953033,0.5981364479,0.5812667004,0.5662136591
0.6203522505,0.6000480618,0.5830633757,0.5678661321
0.6223091977,0.6019608272,0.5848610540,0.5695194078
0.6242661448,0.6038747420,0.5866597338,0.5711734848
0.6262230920,0.6057898043,0.5884594133,0.5728283620
0.6281800391,0.6077060122,0.5902600907,0.5744840380
0.6301369863,0.6096233639,0.5920617645,0.5761405115
0.6320939335,0.6115418573,0.5938644330,0.5777977811
0.6340508806,0.6134614907,0.5956680944,0.5794558458
0.6360078278,0.6153822621,0.5974727471,0.5811147041
0.6379647750,0.6173041696,0.5992783895,0.5827743547
0.6399217221,0.6192272115,0.6010850198,0.5844347965
0.6418786693,0.6211513858,0.6028926366,0.5860960282
0.6438356164,0.6230766907,0.6047012380,0.5877580484
0.6457925636,0.6250031243,0.6065108226,0.5894208560
0.6477495108,0.6269306848,0.6083213886,0.5910844496
0.6497064579,0.6288593704,0.6101329344,0.5927488281
